DPI peak;promoter name;max expression (TPM);median expression (TPM);5th;25th;75th;95th;kurtosis;skew;TATA;CpG;Gene Symbol
"chr21:45527259..45527285,+";p2@PWP2;"18,6";"1,9";0;"0,9";"3,5";"6,8";"6,431268113";"2,005416071";TATA-less;CpG;PWP2
"chr20:32581853..32581870,+";p7@RALY;"18,6";"2,8";"0,8";"1,8";"4,1";"7,7";"7,172661193";"2,124790674";TATA-less;CpG;RALY
"chr2:62423214..62423235,+";p2@B3GNT2;"18,6";"1,8";"0,3";"1,1";"2,8";5;"17,10748967";"2,821215053";TATA-less;CpG;B3GNT2
"chrX:47342565..47342638,-";p1@ZNF41;"18,7";"4,3";"0,6";"2,6";"6,6";"11,4";"0,850120641";"0,934503362";TATA-less;CpG;ZNF41
"chr6:109416687..109416722,+";p1@CEP57L1;"18,7";"3,1";0;"1,6";"4,9";"8,36";"3,433659281";"1,345045101";TATA-less;CpG;CEP57L1
"chr7:6048655..6048687,-";p1@PMS2;"18,7";"3,4";"0,64";"2,1";"4,9";"8,86";"4,279972596";"1,556220869";TATA-less;CpG;PMS2
"chr21:40752332..40752347,+";p4@WRB;"18,7";"2,2";0;"0,9";"4,4";"8,26";"3,606396646";"1,586028965";TATA-less;CpG;WRB
"chr16:1359138..1359193,+";p2@UBE2I;"18,7";"2,8";"0,2";"1,4";"4,7";"8,6";"4,617735204";"1,755561111";TATA-less;CpG;UBE2I
"chr16:24550857..24550878,+";p2@RBBP6;"18,7";"3,4";"1,2";"2,4";5;"8,86";"4,723067223";"1,760702251";TATA-less;CpG;RBBP6
"chr8:22022403..22022468,+";p4@BMP1;"18,7";"1,9";0;"0,8";"3,4";"6,96";"6,19758795";"1,988186707";TATA-less;CpG-less;BMP1
"chr20:2821340..2821365,+";p2@VPS16;"18,8";"4,8";"1,84";"3,5";"6,5";"10,02";"1,671653347";"1,010051289";TATA-less;CpG;VPS16
"chr2:38829990..38830022,-";p2@HNRPLL;"18,8";4;"0,3";"2,4";"5,7";"9,42";"2,294384801";"1,082682603";TATA-less;CpG;HNRPLL
"chr2:120124383..120124423,-";p1@C2orf76;"18,8";4;"1,3";"2,7";"5,7";"8,9";"3,389823811";"1,343983644";TATA-less;CpG;C2orf76
"chr4:39460496..39460510,-";p2@RPL9;"18,8";"2,6";0;"1,1";"4,5";"9,86";"3,610671858";"1,699055769";TATA-less;CpG;RPL9
"chr19:44598498..44598529,+";p1@ZNF224;"18,8";2;0;1;"3,7";"7,6";"4,876980219";"1,827615071";TATA-less;CpG;ZNF224
"chr17:46125685..46125699,+";p3@NFE2L1;"18,8";"2,3";"0,24";"1,2";"4,1";"8,46";"5,40921946";"1,939374675";TATA-less;CpG;NFE2L1
"chr14:24610694..24610724,-";p2@FAM158A;"18,8";"1,9";0;1;"3,1";"5,7";"9,007172542";"2,009557488";TATA-less;CpG;FAM158A
"chr1:63989004..63989077,+";p2@EFCAB7;"18,8";"1,9";0;"0,9";"3,4";"7,7";"5,850038644";"2,048926461";TATA-less;CpG-less;EFCAB7
"chr5:90676158..90676228,+";p1@LOC100129716;"18,8";2;"0,4";"1,2";"3,2";"7,12";"6,66494759";"2,117370091";TATA-less;CpG;LOC100129716
"chr17:7218403..7218485,-";p2@GPS2;"18,8";"2,2";"0,4";"1,3";"3,3";"5,4";"11,96444277";"2,197204773";TATA-less;CpG;GPS2
"chr16:70148230..70148270,+";p1@PDPR;"18,9";"3,6";"1,1";"2,5";"5,2";"7,9";"3,494893749";"1,248958916";TATA-less;CpG;PDPR
"chr19:34718613..34718629,+";"p@chr19:34718613..34718629,+";"18,9";3;0;"1,5";"4,9";"8,6";"2,407303909";"1,260497785";TATA-less;CpG-less;"chr19:34718613..34718629,+"
"chr16:90038866..90038937,-";p1@CENPBD1;"18,9";"3,3";"0,54";"2,1";5;"7,96";"3,381129351";"1,287839161";TATA-less;CpG;CENPBD1
"chr1:112938820..112938860,+";p1@CTTNBP2NL;"18,9";"3,4";0;"1,7";"5,2";"9,02";"2,822137856";"1,291539104";TATA-less;CpG;CTTNBP2NL
"chr1:10490477..10490553,+";"p2@APITD1-CORT,p2@APITD1";"18,9";2;0;"0,4";"4,7";"9,22";"2,336198981";"1,427352135";TATA-less;CpG;APITD1
"chr2:153574358..153574425,-";p5@PRPF40A;"18,9";"2,7";"0,4";"1,6";"4,5";"8,5";"3,27220132";"1,493625465";TATA-less;CpG;PRPF40A
"chr19:33667759..33667821,-";"p@chr19:33667759..33667821,-";"18,9";"2,7";"0,6";"1,5";"4,3";"7,36";"4,244695843";"1,535431795";TATA-less;CpG;"chr19:33667759..33667821,-"
"chr8:124054569..124054584,-";p2@DERL1;"18,9";"3,4";"1,1";"2,4";"4,6";"7,5";"5,487388795";"1,566684757";TATA-less;CpG;DERL1
"chr19:53696587..53696633,-";p1@ZNF665;"18,9";"2,5";0;"1,1";"4,6";"8,4";"4,017370836";"1,572202296";TATA-less;CpG;ZNF665
"chr4:146540522..146540548,+";p1@MMAA;"18,9";"2,6";"0,3";"1,5";"4,2";"7,96";"4,58384498";"1,653443702";TATA-less;CpG;MMAA
"chr2:19547745..19547812,-";"p@chr2:19547745..19547812,-";"18,9";3;"0,7";"1,8";"4,6";"7,8";"5,100649734";"1,673538507";TATA-less;CpG;"chr2:19547745..19547812,-"
"chr17:61904831..61904842,+";p3@PSMC5;"18,9";3;"0,9";2;"4,3";"7,2";"7,682650978";"1,927421853";TATA-less;CpG;PSMC5
"chr13:103249285..103249300,+";p3@TPP2;"18,9";2;0;"0,9";"3,7";"7,86";"5,38208997";"1,935401305";TATA-less;CpG;TPP2
"chr10:31607943..31608005,-";p1@ZEB1-AS1;"18,9";"2,2";0;"1,1";"3,6";"7,1";"7,646556588";"2,078150274";TATA-less;CpG;ZEB1-AS1
"chr2:242157650..242157711,+";p1@ANO7;"18,9";"1,9";0;"0,7";"3,6";"6,6";"7,967944631";"2,190372773";TATA-less;CpG;ANO7
"chrX:151999569..151999594,+";p3@NSDHL;19;"5,5";"1,4";"3,6";"7,9";"11,9";"0,673225613";"0,765731682";TATA-less;CpG;NSDHL
"chr10:126849085..126849138,-";p2@CTBP2;19;"3,4";0;2;"5,2";9;"3,070928224";"1,37312064";TATA-less;CpG;CTBP2
"chr4:91760216..91760246,-";p2@TMSL3;19;"2,4";0;"1,1";"4,5";"8,66";"2,925471775";"1,48713475";TATA-less;CpG;TMSL3
"chr1:149871114..149871134,+";p3@BOLA1;19;"2,8";0;"1,7";"4,1";"7,2";"6,862796903";"1,876779601";TATA-less;CpG;BOLA1
"chr1:109241994..109242012,+";p4@PRPF38B;19;2;0;"0,9";4;"9,86";"4,221720497";"1,877268213";TATA-less;CpG-less;PRPF38B
"chr3:156260405..156260424,-";"p@chr3:156260405..156260424,-";19;"1,9";0;1;"3,8";"8,36";"5,116417667";"1,971778287";TATA-less;CpG-less;"chr3:156260405..156260424,-"
"chr11:65487941..65488012,-";p2@RNASEH2C;19;2;0;"0,9";"3,4";"6,5";"8,816600839";"2,246044506";TATA-less;CpG;RNASEH2C
"chr11:63993779..63993796,+";p2@NUDT22;19;"2,3";"0,5";"1,5";"3,3";"6,7";"9,34509877";"2,295803207";TATA-less;CpG;NUDT22
"chr9:119449483..119449550,-";p2@ASTN2;"19,1";"2,7";0;"1,1";"4,5";"7,96";"3,531109382";"1,421185035";TATA-less;CpG;ASTN2
"chr10:43133950..43133994,-";p2@ZNF33B;"19,1";"2,4";0;"1,2";"4,2";"7,9";"3,680162107";"1,5326834";TATA-less;CpG;ZNF33B
"chr7:99102865..99102894,+";p1@ZKSCAN5;"19,1";"3,6";"1,2";"2,5";"5,3";"7,86";"6,127024257";"1,601380345";TATA-less;CpG;ZKSCAN5
"chr14:77494182..77494249,-";p3@IRF2BPL;"19,1";"2,7";0;"1,3";"4,6";"9,36";"3,374426902";"1,619664247";TATA-less;CpG;IRF2BPL
"chr10:6205781..6205847,+";"p@chr10:6205781..6205847,+";"19,1";"2,5";"0,2";"1,3";"4,1";8;"5,943785535";"1,933610547";TATA-less;CpG;"chr10:6205781..6205847,+"
"chr2:97523664..97523706,-";p1@ANKRD23;"19,1";2;0;"1,2";"3,2";"7,06";"10,11777172";"2,488362923";TATA-less;CpG;ANKRD23
"chr6:80816342..80816369,+";p2@BCKDHB;"19,2";"2,7";"0,24";"1,7";"4,2";"6,8";"5,417032102";"1,464200406";TATA-less;CpG;BCKDHB
"chr19:52800410..52800454,+";p1@ZNF480;"19,2";"3,2";"0,3";"1,7";5;"9,1";"3,024726506";"1,472479616";TATA-less;CpG;ZNF480
"chr19:3094317..3094339,+";p2@GNA11;"19,2";"2,7";0;"1,3";"4,3";"7,46";"4,42881276";"1,526909925";TATA-less;CpG-less;GNA11
"chr12:6646963..6647000,-";"p@chr12:6646963..6647000,-";"19,2";"1,9";0;"0,7";"3,7";"7,3";"4,489153228";"1,670178476";TATA-less;CpG-less;"chr12:6646963..6647000,-"
"chr3:37903226..37903290,-";"p1@ENST00000366441,p1@ENST00000420870,p1@ENST00000438136,p1@ENST00000450990,p1@ENST00000457661,p1@uc003che.2";"19,2";2;0;"0,6";4;"9,86";"3,657387962";"1,812920019";TATA-less;CpG;uc003che.2
"chr20:3748416..3748427,-";p2@C20orf27;"19,2";"2,5";0;"1,4";"4,1";"7,6";"6,200420619";"1,820126395";TATA-less;CpG;C20orf27
"chr17:7487393..7487416,-";p1@ENST00000415124;"19,2";"2,8";"0,7";"1,8";"4,3";"7,5";"6,158425298";"1,820991621";TATA-less;CpG;ENST00000415124
"chr2:3383544..3383565,+";p3@TRAPPC12;"19,2";3;1;2;"4,1";"6,86";"11,62698132";"2,458062754";TATA-less;CpG;TRAPPC12
"chr14:70826438..70826453,-";p2@COX16;"19,2";"2,2";"0,4";"1,3";"3,4";"6,06";"11,6503043";"2,518450587";TATA-less;CpG;COX16
"chr11:120207031..120207060,+";p2@ARHGEF12;"19,3";"3,8";"0,3";"2,2";"5,6";"8,86";"2,033246412";"0,977882029";TATA-less;CpG;ARHGEF12
"chr15:22892745..22892761,+";p2@CYFIP1;"19,3";"2,7";0;"1,1";5;"9,16";"1,971143845";"1,289739584";TATA-less;CpG;CYFIP1
"chr18:77748503..77748515,-";p2@TXNL4A;"19,3";"2,5";"0,4";"1,3";5;"9,68";"3,181738641";"1,632905235";TATA-less;CpG;TXNL4A
"chrX:110864734..110864748,-";p1@EIF4BP7;"19,3";"3,5";"0,4";"2,1";"5,1";"8,46";"5,810413614";"1,736536846";TATA-less;CpG-less;EIF4BP7
"chr1:115124257..115124270,-";p2@BCAS2;"19,3";3;"0,6";"1,8";"4,3";"7,26";"6,896177163";"1,757939507";TATA-less;CpG-less;BCAS2
"chr6:28891458..28891533,-";p3@TRIM27;"19,3";"3,4";"1,1";"2,2";"5,1";"8,76";"4,846115626";"1,808919481";TATA-less;CpG;TRIM27
"chr17:71228793..71228838,+";p2@C17orf80;"19,3";"1,9";0;"0,9";"3,2";"5,8";"9,949468992";"2,114554975";TATA-less;CpG;C17orf80
"chr7:97881654..97881689,+";p4@BRI3;"19,3";"2,4";"0,5";"1,4";4;"8,46";"6,383377016";"2,120030453";TATA-less;CpG;BRI3
"chr9:86238016..86238078,+";p1@C9orf103;"19,3";2;"0,04";1;"3,2";7;"7,581755926";"2,208001857";TATA-less;CpG;C9orf103
"chr1:240800373..240800374,-";p1@ENST00000420757;"19,3";"2,1";0;"1,1";"3,5";"7,16";"8,976667908";"2,369947999";TATA-less;CpG-less;ENST00000420757
"chr6:10747986..10747997,+";"p2@SYCP2L,p2@TMEM14B";"19,3";"2,2";"0,34";"1,3";"3,4";"6,2";"12,3736655";"2,573741253";TATA-less;CpG;TMEM14B
"chrX:107334983..107335024,+";p1@ATG4A;"19,4";"4,9";"0,8";3;7;"11,46";"1,35544805";"0,984915961";TATA-less;CpG;ATG4A
"chr5:82373379..82373444,+";p1@XRCC4;"19,4";"3,9";"0,9";"2,5";6;"10,06";"2,585409178";"1,325544013";TATA-less;CpG;XRCC4
"chr16:30546141..30546240,-";"p1@ZNF747,p2@ZNF768";"19,4";"2,8";"0,3";"1,5";"5,2";"10,6";"1,608376575";"1,340306323";TATA-less;CpG;ZNF768
"chr15:90931547..90931558,+";p2@IQGAP1;"19,4";3;"0,34";"1,5";"4,8";"8,86";"4,407117791";"1,656399304";TATA-less;CpG;IQGAP1
"chr12:57400261..57400344,-";p1@ZBTB39;"19,4";"3,5";"0,9";"2,2";"5,4";"10,46";"4,004835845";"1,738567865";TATA-less;CpG-less;ZBTB39
"chr12:76953513..76953529,-";p4@OSBPL8;"19,4";"2,5";"0,08";"1,5";"3,9";"7,3";"6,606550736";"1,871519551";TATA-less;CpG;OSBPL8
"chr17:11900745..11900804,-";p1@ZNF18;"19,4";"2,6";"0,7";"1,7";4;"8,66";"4,949195639";"1,940168702";TATA-less;CpG;ZNF18
"chr19:42773371..42773421,+";"p@chr19:42773371..42773421,+";"19,4";"2,1";"0,6";"1,3";"3,3";"5,9";"10,01129823";"2,146924754";TATA-less;CpG;"chr19:42773371..42773421,+"
"chr6:143771934..143771948,+";p2@PEX3;"19,4";"2,6";"0,2";"1,5";"3,9";"7,06";"9,926997688";"2,21695243";TATA-less;CpG;PEX3
"chr3:4345043..4345059,+";p1@SETMAR;"19,4";"2,4";"0,3";"1,5";"3,7";"6,88";"9,090225745";"2,271017529";TATA-less;CpG;SETMAR
"chr1:231473743..231473807,+";p2@C1orf124;"19,4";"2,6";"0,3";"1,6";"3,7";"6,5";"11,19156082";"2,293896571";TATA-less;CpG;C1orf124
"chr5:132113083..132113109,-";p2@SEPT8;"19,4";"1,9";0;1;"3,1";"7,1";"8,451069221";"2,378711682";TATA-less;CpG;SEPT8
"chr4:119199872..119199890,+";p2@SNHG8;"19,4";"1,9";0;1;"3,2";"7,2";"9,05388096";"2,461354379";TATA-less;CpG;SNHG8
"chr13:99852916..99852957,-";p1@UBAC2-AS1;"19,4";"1,9";"0,3";"1,2";3;"6,9";"10,20855483";"2,591724987";TATA-less;CpG;UBAC2-AS1
"chr5:71616188..71616230,+";p1@PTCD2;"19,5";6;"0,84";"3,7";"8,2";"11,76";"0,496284336";"0,5142311";TATA-less;CpG;PTCD2
"chr11:77899656..77899679,-";p1@KCTD21;"19,5";"4,5";"0,9";"2,5";"6,5";"10,2";"1,547450001";"0,9858486";TATA-less;CpG;KCTD21
"chr1:166246829..166246851,-";p1@ENST00000400979;"19,5";"3,7";"0,3";"1,9";"5,8";"10,66";"1,862091824";"1,209606821";TATA-less;CpG-less;ENST00000400979
"chr11:107436443..107436472,-";p1@ALKBH8;"19,5";"3,5";"0,5";"2,1";"4,9";"8,9";"3,525363393";"1,370870238";TATA-less;CpG-less;ALKBH8
"chr1:156721306..156721317,-";p5@HDGF;"19,5";"2,8";"0,14";"1,4";"4,3";"7,9";"3,624590831";"1,415936669";TATA-less;CpG;HDGF
"chr19:53758094..53758147,-";p1@ZNF677;"19,5";"2,6";0;"0,8";"4,2";"7,86";"3,737114789";"1,448832217";TATA-less;CpG;ZNF677
"chr22:42017266..42017277,+";p2@XRCC6;"19,5";2;0;"0,9";"3,6";"6,2";"6,832907827";"1,716673415";TATA-less;CpG;XRCC6
"chr2:10588513..10588524,-";p2@ODC1;"19,5";"2,6";"0,5";"1,6";"4,2";"7,36";"5,513512714";"1,758940625";TATA-less;CpG;ODC1
"chr16:57219909..57219923,-";p2@FAM192A;"19,5";"2,9";0;"1,6";"4,2";"8,56";"4,926465097";"1,767982174";TATA-less;CpG;FAM192A
"chrX:15693554..15693606,+";p2@CA5BP1;"19,5";"3,1";"0,9";"2,1";"4,3";"6,8";"7,710045561";"1,77892627";TATA-less;CpG;CA5BP1
"chr17:7835212..7835223,-";p2@TRAPPC1;"19,5";"1,9";0;"0,9";"3,6";"7,86";"4,329772343";"1,801509049";TATA-less;CpG;TRAPPC1
"chr9:95432406..95432444,-";p2@IPPK;"19,5";"3,3";1;"2,2";"4,7";"7,8";"7,305174509";"1,873205444";TATA-less;CpG;IPPK
"chr3:9834229..9834260,+";"p1@ARPC4-TTLL3,p2@ARPC4";"19,5";"2,8";"0,9";"1,8";"4,4";"7,26";"7,052706307";"1,879084924";TATA-less;CpG;ARPC4
"chr16:69345220..69345231,+";p2@VPS4A;"19,5";"3,1";"0,7";"1,8";"4,5";"8,26";"6,288622831";"1,959056736";TATA-less;CpG;VPS4A
"chr6:35436143..35436162,+";p2@RPL10A;"19,5";"2,4";"0,4";"1,4";"4,1";"8,3";"6,569902927";"2,086385685";TATA-less;CpG;RPL10A
"chr17:4849971..4850025,-";"p@chr17:4849971..4850025,-";"19,5";"1,9";"0,1";"0,9";"3,5";"7,3";"7,747105333";"2,144231137";TATA-less;CpG-less;"chr17:4849971..4850025,-"
"chr9:125693916..125694027,+";"p@chr9:125693916..125694027,+";"19,5";"2,2";"0,4";"1,3";"3,6";"7,26";"9,452335572";"2,389783912";TATA-less;CpG;"chr9:125693916..125694027,+"
"chr6:34231494..34231507,-";p2@RPL35P2;"19,5";"1,9";"0,2";1;"3,3";"6,66";"9,421788796";"2,492200879";TATA-less;CpG;RPL35P2
"chr2:208490027..208490095,-";p2@METTL21A;"19,5";2;0;1;"3,5";"9,14";"8,420525788";"2,580147598";TATA-less;CpG;METTL21A
"chr5:112258000..112258015,-";p2@REEP5;"19,6";4;"0,9";"2,4";6;"10,26";"2,324860728";"1,290396483";TATA-less;CpG;REEP5
"chr14:105452094..105452152,+";p1@C14orf79;"19,6";"2,8";0;"1,2";"4,4";"7,76";"3,721456574";"1,424075964";TATA-less;CpG;C14orf79
"chr17:7761306..7761396,+";p1@CYB5D1;"19,6";"3,2";"0,2";"1,8";"4,9";"9,7";"3,013552695";"1,464912578";TATA-less;CpG;CYB5D1
"chr17:73127808..73127821,-";p2@NT5C;"19,6";"2,3";"0,3";"1,3";"3,6";"6,8";"9,686983827";"2,472368388";TATA-less;CpG;NT5C
"chr2:220025503..220025545,-";p1@NHEJ1;"19,7";"4,5";"1,6";"3,2";"6,2";"9,6";"1,977070404";"1,049536043";TATA-less;CpG;NHEJ1
"chr6:149969829..149969863,-";p1@KATNA1;"19,7";"4,2";"1,04";"2,8";6;"9,36";"3,613211304";"1,273981476";TATA-less;CpG;KATNA1
"chr15:72410732..72410767,+";p1@SENP8;"19,7";"3,5";"0,6";2;"5,3";"8,6";"3,956960858";"1,389184119";TATA-less;CpG;SENP8
"chr19:37960240..37960299,+";p1@ZNF570;"19,7";"2,4";0;"1,1";"3,8";"7,1";"4,525150969";"1,509415526";TATA-less;CpG;ZNF570
"chr19:17186229..17186278,-";p1@HAUS8;"19,7";"2,5";"0,3";"1,2";"4,4";"8,3";"4,004559535";"1,581144308";TATA-less;CpG;HAUS8
"chr20:48732472..48732501,-";p3@UBE2V1;"19,7";"2,8";"0,3";"1,6";"4,3";"7,8";"5,046929017";"1,617015021";TATA-less;CpG-less;UBE2V1
"chr11:62446515..62446522,-";p2@UBXN1;"19,7";"2,6";"0,64";"1,6";"4,1";"6,66";"6,44371829";"1,761895686";TATA-less;CpG;UBXN1
"chr5:138941127..138941141,+";p4@UBE2D2;"19,7";"2,8";"0,8";"1,8";"4,3";"7,7";"5,863578744";"1,797557497";TATA-less;CpG;UBE2D2
"chr2:38152401..38152444,+";p1@FAM82A1;"19,7";"2,4";0;"1,1";"4,2";"7,96";"5,911855847";"1,872495104";TATA-less;CpG;FAM82A1
"chr6:153304697..153304734,-";p2@FBXO5;"19,7";"2,5";"0,34";"1,4";"4,1";"8,46";"5,484348496";"1,932702201";TATA-less;CpG;FBXO5
"chr10:103880178..103880208,-";p5@LDB1;"19,7";"2,3";"0,4";"1,2";"3,9";"7,8";"6,257833684";"2,039067556";TATA-less;CpG;LDB1
"chr5:145826904..145826915,+";p2@TCERG1;"19,7";"2,2";"0,34";"1,4";"3,5";"6,4";"9,574536156";"2,200537636";TATA-less;CpG;TCERG1
"chrX:13752894..13752916,+";p3@OFD1;"19,7";"2,4";"0,34";"1,4";"3,8";"7,4";"8,855982875";"2,277489702";TATA-less;CpG;OFD1
"chr2:201754056..201754130,+";p1@NIF3L1;"19,8";"5,8";"1,1";"3,9";"7,9";"11,06";"0,227068019";"0,358436509";TATA;CpG-less;NIF3L1
"chr4:103748307..103748320,-";p9@UBE2D3;"19,8";"3,7";"0,6";"2,3";"5,4";"9,36";"2,598009852";"1,198728846";TATA-less;CpG;UBE2D3
"chr11:47600512..47600545,-";p1@KBTBD4;"19,8";"4,7";"1,4";"3,1";"6,4";10;"2,884273659";"1,23328151";TATA-less;CpG;KBTBD4
"chr1:33283143..33283198,+";p1@S100PBP;"19,8";"3,9";"0,74";"2,3";"5,6";"8,7";"3,73295381";"1,237452654";TATA-less;CpG;S100PBP
"chr5:89770542..89770574,-";p1@MBLAC2;"19,8";"2,9";"0,3";"1,7";"4,6";"8,6";"5,203942028";"1,804045163";TATA-less;CpG;MBLAC2
"chr1:179262870..179262888,+";p2@SOAT1;"19,8";"2,8";"0,5";"1,6";"4,3";"8,5";"5,706856171";"1,901034382";TATA-less;CpG;SOAT1
"chr7:1200053..1200135,+";"p1@ENST00000422230,p1@uc003skf.1";"19,8";"2,4";"0,54";"1,5";"3,6";"6,26";"9,290650614";"2,167888213";TATA-less;CpG;uc003skf.1
"chr19:12721513..12721572,-";p1@ZNF490;"19,8";"2,9";"0,9";"1,8";"4,3";"9,32";"6,593786071";"2,198129744";TATA-less;CpG;ZNF490
"chr11:10827517..10827597,-";p4@EIF4G2;"19,8";2;0;"1,1";"3,6";"7,9";"7,945926517";"2,219634711";TATA-less;CpG-less;EIF4G2
"chr1:32403887..32403898,-";p2@PTP4A2;"19,8";2;0;"1,1";"3,2";"5,5";"11,61135498";"2,275128227";TATA-less;CpG;PTP4A2
"chr1:156024525..156024547,+";p2@LAMTOR2;"19,8";"2,1";0;1;"3,4";"7,2";"8,33267513";"2,323300327";TATA-less;CpG;LAMTOR2
"chr8:125486755..125486828,-";"p1@ENST00000499418,p1@ENST00000530778,p1@uc003yrb.2";"19,8";"1,9";0;1;"3,6";"8,06";"8,444120527";"2,436856631";TATA-less;CpG;uc003yrb.2
"chr16:89768097..89768126,-";p1@SPATA2L;"19,8";2;"0,3";"1,2";"3,1";"5,8";"13,21026622";"2,664088626";TATA-less;CpG;SPATA2L
"chr9:135282195..135282240,-";p1@TTF1;"19,9";"4,6";"0,9";"2,9";"6,4";"9,66";"2,761576677";"1,070146073";TATA-less;CpG;TTF1
"chr3:101498026..101498067,+";p1@FAM55C;"19,9";"3,4";"0,54";2;"5,2";"8,7";"3,082659053";"1,21811272";TATA-less;CpG;FAM55C
"chr5:139027889..139027918,+";p3@CXXC5;"19,9";"3,1";0;"1,3";"5,1";"9,46";"2,803603324";"1,409796778";TATA-less;CpG;CXXC5
"chrX:153236620..153236684,-";p2@HCFC1;"19,9";"4,1";"1,4";"2,8";"5,9";"10,9";"3,709744699";"1,657654857";TATA-less;CpG;HCFC1
"chr11:94800294..94800357,+";p2@SRSF8;"19,9";"3,1";"0,6";"1,9";"4,5";"7,5";"6,780568182";"1,865215308";TATA-less;CpG;SRSF8
"chr8:17942432..17942501,-";p2@ASAH1;"19,9";"2,4";"0,3";"1,3";"4,2";"8,7";"4,831415999";"1,880509713";TATA-less;CpG;ASAH1
"chr14:39901618..39901681,-";p2@FBXO33;"19,9";"3,3";"0,94";"2,2";"4,9";"8,9";"5,602183532";"1,929164154";TATA-less;CpG;FBXO33
"chr6:42896865..42896939,+";p3@CNPY3;"19,9";"2,8";"0,6";"1,7";"4,7";"8,2";"6,678091918";"1,972033632";TATA-less;CpG-less;CNPY3
"chr4:57775059..57775139,+";p2@REST;"19,9";"2,3";0;"1,2";"3,8";"8,16";"6,409050376";"2,047790233";TATA-less;CpG;REST
"chr20:62496411..62496435,-";"p@chr20:62496411..62496435,-";"19,9";"2,3";"0,3";"1,3";4;"8,32";"6,481715841";"2,148908146";TATA-less;CpG;"chr20:62496411..62496435,-"
"chr3:33138286..33138319,-";"p1@TMPPE,p3@GLB1";20;"4,8";"1,6";"3,4";"6,5";"9,76";"1,983204746";"0,917327075";TATA-less;CpG;GLB1
"chr9:35732224..35732241,-";p4@TLN1;20;"3,6";"0,84";"2,1";"5,6";"9,6";"2,380388262";"1,286087224";TATA-less;CpG;TLN1
"chr19:10613384..10613418,-";p2@KEAP1;20;"3,1";"0,6";2;"4,6";"7,8";"4,321677804";"1,426883462";TATA-less;CpG;KEAP1
"chr3:48488133..48488161,+";p2@ATRIP;20;"3,8";"1,1";"2,6";"5,5";"9,46";"4,773871389";"1,630858537";TATA-less;CpG;ATRIP
"chr15:41099809..41099897,+";p2@ZFYVE19;20;"2,9";"0,5";"1,6";"4,6";"8,56";"4,32614722";"1,648726992";TATA-less;CpG;ZFYVE19
"chr22:36903101..36903129,-";p2@FOXRED2;20;2;0;"0,8";"3,5";"7,3";"4,726538288";"1,654338256";TATA-less;CpG;FOXRED2
"chr12:93861265..93861276,+";p2@MRPL42;20;"2,4";0;"1,3";"4,1";8;"4,935554049";"1,728575377";TATA-less;CpG;MRPL42
"chr16:30934890..30934932,+";p1@FBXL19;20;"2,5";"0,4";"1,4";"3,9";"6,9";"7,354045236";"1,821316916";TATA-less;CpG;FBXL19
"chr2:182756497..182756540,+";p3@SSFA2;20;"2,6";"0,4";"1,6";"4,4";"9,1";"4,782926159";"1,87145278";TATA-less;CpG;SSFA2
"chr1:146644281..146644367,+";p1@uc001epf.1;20;"2,7";"0,4";"1,6";"4,1";"7,7";"5,863681906";"1,880996552";TATA-less;CpG;uc001epf.1
"chr14:74485960..74486017,-";p1@ENTPD5;20;"3,2";"0,84";"2,2";"4,3";"6,56";"12,12118117";"2,222952495";TATA-less;CpG;ENTPD5
"chr2:145090099..145090177,-";p2@GTDC1;20;"2,2";"0,2";"1,2";"3,6";"8,3";"8,030103115";"2,466244812";TATA-less;CpG;GTDC1
"chr16:75299884..75299919,-";p3@BCAR1;"20,1";"3,5";0;"1,6";"5,5";"9,76";"1,363419486";"0,990971288";TATA-less;CpG;BCAR1
"chr21:34915123..34915145,-";p2@GART;"20,1";"3,4";1;"2,1";"5,7";"10,86";"3,283201943";"1,636050989";TATA-less;CpG;GART
"chr10:70092671..70092718,-";p1@PBLD;"20,1";"3,1";"0,5";"1,7";"4,7";"8,26";"5,044101128";"1,64273829";TATA-less;CpG-less;PBLD
"chr4:146402966..146402985,+";p2@SMAD1;"20,1";"2,5";0;"1,2";4;"7,4";"5,575058766";"1,681780017";TATA-less;CpG;SMAD1
"chr1:165796753..165796776,+";p5@UCK2;"20,1";"2,6";0;1;"4,5";"8,56";"5,499661535";"1,76180888";TATA-less;CpG;UCK2
"chr11:65479462..65479517,+";p2@KAT5;"20,1";"2,8";"0,7";"1,8";4;7;"8,929996125";"2,024105936";TATA-less;CpG;KAT5
"chr2:29022451..29022555,+";"p@chr2:29022451..29022555,+";"20,1";"2,7";0;"1,5";"4,4";9;"5,860729232";"2,036409871";TATA-less;CpG-less;"chr2:29022451..29022555,+"
"chr17:40138062..40138065,-";p1@AK025003;"20,1";"2,3";0;1;4;"7,7";"7,496735213";"2,132438987";TATA-less;CpG-less;AK025003
"chr13:23949671..23949702,-";p3@SACS;"20,1";2;0;1;"3,3";"6,8";"9,941967383";"2,347454335";TATA-less;CpG;SACS
"chr11:18610214..18610239,-";p1@UEVLD;"20,2";"6,3";"1,54";4;"8,7";"12,96";"0,662791744";"0,693592009";TATA-less;CpG;UEVLD
"chr12:38710555..38710598,+";p1@ALG10B;"20,2";"3,7";"0,9";"2,5";"5,9";"9,92";"2,15644985";"1,227881003";TATA-less;CpG;ALG10B
